Product_Code,Store_Code,BSQ
19CR1094-45412-WL,W178,2
19CR1094-45412-WL,W243,2
19CR1094-45412-WL,W334,2
19CR1094-45412-WL,W358,2
19CR1094-45412-WL,W395,2
19CR1094-45412-WL,W421,2
19CR1094-45412-WL,W425,2
19CR1094-45412-WL,W454,2
19CR1094-45412-WL,W460,2
19CR1094-45412-WL,W473,2
19CR1094-45412-WM,W178,2
19CR1094-45412-WM,W243,2
19CR1094-45412-WM,W334,2
19CR1094-45412-WM,W358,2
19CR1094-45412-WM,W395,2
19CR1094-45412-WM,W421,2
19CR1094-45412-WM,W425,2
19CR1094-45412-WM,W454,2
19CR1094-45412-WM,W460,2
19CR1094-45412-WM,W473,2
19CR1094-45412-WS,W178,1
19CR1094-45412-WS,W243,1
19CR1094-45412-WS,W334,1
19CR1094-45412-WS,W358,1
19CR1094-45412-WS,W395,1
19CR1094-45412-WS,W421,1
19CR1094-45412-WS,W425,1
19CR1094-45412-WS,W454,1
19CR1094-45412-WS,W460,1
19CR1094-45412-WS,W473,1
19CR1094-45413-WL,W178,2
19CR1094-45413-WL,W243,2
19CR1094-45413-WL,W358,2
19CR1094-45413-WL,W395,2
19CR1094-45413-WL,W421,2
19CR1094-45413-WL,W425,2
19CR1094-45413-WL,W445,2
19CR1094-45413-WL,W454,2
19CR1094-45413-WL,W460,2
19CR1094-45413-WL,W471,2
19CR1094-45413-WL,W473,2
19CR1094-45413-WM,W178,2
19CR1094-45413-WM,W243,2
19CR1094-45413-WM,W358,2
19CR1094-45413-WM,W395,2
19CR1094-45413-WM,W421,2
19CR1094-45413-WM,W425,2
19CR1094-45413-WM,W445,2
19CR1094-45413-WM,W454,2
19CR1094-45413-WM,W460,2
19CR1094-45413-WM,W471,2
19CR1094-45413-WM,W473,2
19CR1094-45413-WS,W178,1
19CR1094-45413-WS,W243,1
19CR1094-45413-WS,W358,1
19CR1094-45413-WS,W395,1
19CR1094-45413-WS,W421,1
19CR1094-45413-WS,W425,1
19CR1094-45413-WS,W445,1
19CR1094-45413-WS,W454,1
19CR1094-45413-WS,W460,1
19CR1094-45413-WS,W471,1
19CR1094-45413-WS,W473,1
19CR1094-46971-WL,W178,2
19CR1094-46971-WL,W243,2
19CR1094-46971-WL,W334,2
19CR1094-46971-WL,W358,2
19CR1094-46971-WL,W395,2
19CR1094-46971-WL,W421,2
19CR1094-46971-WL,W425,2
19CR1094-46971-WL,W445,2
19CR1094-46971-WL,W454,2
19CR1094-46971-WL,W460,2
19CR1094-46971-WL,W471,2
19CR1094-46971-WL,W473,2
19CR1094-46971-WM,W178,2
19CR1094-46971-WM,W243,2
19CR1094-46971-WM,W334,2
19CR1094-46971-WM,W358,2
19CR1094-46971-WM,W395,2
19CR1094-46971-WM,W421,2
19CR1094-46971-WM,W425,2
19CR1094-46971-WM,W445,2
19CR1094-46971-WM,W454,2
19CR1094-46971-WM,W460,2
19CR1094-46971-WM,W471,2
19CR1094-46971-WM,W473,2
19CR1094-46971-WS,W178,1
19CR1094-46971-WS,W243,1
19CR1094-46971-WS,W334,1
19CR1094-46971-WS,W358,1
19CR1094-46971-WS,W395,1
19CR1094-46971-WS,W421,1
19CR1094-46971-WS,W425,1
19CR1094-46971-WS,W445,1
19CR1094-46971-WS,W454,1
19CR1094-46971-WS,W460,1
19CR1094-46971-WS,W471,1
19CR1094-46971-WS,W473,1
19CR1094-47527-WL,W178,2
19CR1094-47527-WL,W243,2
19CR1094-47527-WL,W334,2
19CR1094-47527-WL,W358,2
19CR1094-47527-WL,W395,2
19CR1094-47527-WL,W421,2
19CR1094-47527-WL,W425,2
19CR1094-47527-WL,W445,2
19CR1094-47527-WL,W454,2
19CR1094-47527-WL,W471,2
19CR1094-47527-WL,W473,2
19CR1094-47527-WM,W178,2
19CR1094-47527-WM,W243,2
19CR1094-47527-WM,W334,2
19CR1094-47527-WM,W358,2
19CR1094-47527-WM,W395,2
19CR1094-47527-WM,W421,2
19CR1094-47527-WM,W425,2
19CR1094-47527-WM,W445,2
19CR1094-47527-WM,W454,2
19CR1094-47527-WM,W471,2
19CR1094-47527-WM,W473,2
19CR1094-47527-WS,W178,1
19CR1094-47527-WS,W243,1
19CR1094-47527-WS,W334,1
19CR1094-47527-WS,W358,1
19CR1094-47527-WS,W395,1
19CR1094-47527-WS,W421,1
19CR1094-47527-WS,W425,1
19CR1094-47527-WS,W445,1
19CR1094-47527-WS,W454,1
19CR1094-47527-WS,W471,1
19CR1094-47527-WS,W473,1
19CR160105-47447-WL,W178,2
19CR160105-47447-WL,W243,2
19CR160105-47447-WL,W334,2
19CR160105-47447-WL,W358,2
19CR160105-47447-WL,W395,2
