Product_Code,Store_Code,Closing Inventory,Date
19CR1094-45412-WL,W178,5,10/02/19
19CR1094-45412-WL,W243,3,10/02/19
19CR1094-45412-WL,W334,1,10/02/19
19CR1094-45412-WL,W358,1,10/02/19
19CR1094-45412-WL,W395,1,10/02/19
19CR1094-45412-WL,W421,7,10/02/19
19CR1094-45412-WL,W425,5,10/02/19
19CR1094-45412-WL,W454,1,10/02/19
19CR1094-45412-WL,W460,1,10/02/19
19CR1094-45412-WL,W473,1,10/02/19
19CR1094-45412-WM,W178,2,10/02/19
19CR1094-45412-WM,W334,1,10/02/19
19CR1094-45412-WM,W358,2,10/02/19
19CR1094-45412-WM,W395,2,10/02/19
19CR1094-45412-WM,W421,1,10/02/19
19CR1094-45412-WM,W425,4,10/02/19
19CR1094-45412-WM,W431,3,10/02/19
19CR1094-45412-WM,W454,1,10/02/19
19CR1094-45412-WS,W178,2,10/02/19
19CR1094-45412-WS,W358,1,10/02/19
19CR1094-45412-WS,W421,1,10/02/19
19CR1094-45413-WL,W178,7,10/02/19
19CR1094-45413-WL,W243,14,10/02/19
19CR1094-45413-WL,W270,1,10/02/19
19CR1094-45413-WL,W395,3,10/02/19
19CR1094-45413-WL,W421,6,10/02/19
19CR1094-45413-WL,W425,3,10/02/19
19CR1094-45413-WL,W431,2,10/02/19
19CR1094-45413-WL,W445,2,10/02/19
19CR1094-45413-WL,W454,1,10/02/19
19CR1094-45413-WL,W460,6,10/02/19
19CR1094-45413-WL,W471,1,10/02/19
19CR1094-45413-WL,W473,3,10/02/19
19CR1094-45413-WM,W178,1,10/02/19
19CR1094-45413-WM,W243,1,10/02/19
19CR1094-45413-WM,W358,1,10/02/19
19CR1094-45413-WM,W421,1,10/02/19
19CR1094-45413-WM,W425,2,10/02/19
19CR1094-45413-WM,W431,1,10/02/19
19CR1094-45413-WS,W178,1,10/02/19
19CR1094-46971-WL,W243,3,10/02/19
19CR1094-46971-WL,W270,2,10/02/19
19CR1094-46971-WL,W358,3,10/02/19
19CR1094-46971-WL,W395,2,10/02/19
19CR1094-46971-WL,W421,1,10/02/19
19CR1094-46971-WL,W425,3,10/02/19
19CR1094-46971-WL,W431,2,10/02/19
19CR1094-46971-WL,W445,2,10/02/19
19CR1094-46971-WL,W454,2,10/02/19
19CR1094-46971-WL,W460,3,10/02/19
19CR1094-46971-WL,W473,2,10/02/19
19CR1094-46971-WM,W178,7,10/02/19
19CR1094-46971-WM,W243,7,10/02/19
19CR1094-46971-WM,W270,3,10/02/19
19CR1094-46971-WM,W358,5,10/02/19
19CR1094-46971-WM,W395,5,10/02/19
19CR1094-46971-WM,W421,3,10/02/19
19CR1094-46971-WM,W425,2,10/02/19
19CR1094-46971-WM,W431,5,10/02/19
19CR1094-46971-WM,W445,4,10/02/19
19CR1094-46971-WM,W454,5,10/02/19
