Product_Code,Store_Code,BSQ
19FEW11064-110211-10,W178,3
19FEW11064-110211-12,W178,3
19FEW11064-110211-14,W178,2
19FEW11064-110211-16,W178,2
19FEW11064-110211-18,W178,2
19FEW11064-110211-6,W178,2
19FEW11064-110211-8,W178,2
19FEW11075-110228-10,W178,2
19FEW11075-110228-12,W178,2
19FEW11075-110228-14,W178,2
19FEW11075-110228-16,W178,2
19FEW11075-110228-18,W178,1
19FEW11075-110228-6,W178,1
19FEW11075-110228-8,W178,2
19FEW11077-110234-10,W178,3
19FEW11077-110234-12,W178,3
19FEW11077-110234-14,W178,2
19FEW11077-110234-16,W178,2
19FEW11077-110234-18,W178,2
19FEW11077-110234-6,W178,2
19FEW11077-110234-8,W178,3
19FEW11078-110201-10,W178,2
19FEW11078-110201-12,W178,2
19FEW11078-110201-14,W178,2
19FEW11078-110201-16,W178,2
19FEW11078-110201-18,W178,2
19FEW11078-110201-6,W178,1
19FEW11078-110201-8,W178,2
19FEW11083-110187-10,W178,3
19FEW11083-110187-12,W178,3
19FEW11083-110187-14,W178,2
19FEW11083-110187-16,W178,2
19FEW11083-110187-18,W178,2
19FEW11083-110187-6,W178,2
19FEW11083-110187-8,W178,3
19FEW11087-110221-10,W178,3
19FEW11087-110221-12,W178,3
19FEW11087-110221-14,W178,3
19FEW11087-110221-16,W178,3
19FEW11087-110221-18,W178,2
19FEW11087-110221-6,W178,2
19FEW11087-110221-8,W178,3
19FEW11542-211235-10,W178,2
19FEW11542-211235-12,W178,2
19FEW11542-211235-14,W178,2
19FEW11542-211235-16,W178,1
19FEW11542-211235-18,W178,1
19FEW11542-211235-6,W178,1
19FEW11542-211235-8,W178,2
19FEW11542-211275-10,W178,2
19FEW11542-211275-12,W178,2
19FEW11542-211275-14,W178,2
19FEW11542-211275-16,W178,1
19FEW11542-211275-18,W178,1
19FEW11542-211275-6,W178,1
19FEW11542-211275-8,W178,2
19FEW11542-211276-10,W178,2
19FEW11542-211276-12,W178,1
19FEW11542-211276-14,W178,1
19FEW11542-211276-16,W178,1
19FEW11542-211276-18,W178,1
19FEW11542-211276-6,W178,1
19FEW11542-211276-8,W178,2
19FEW11542-211277-10,W178,2
19FEW11542-211277-12,W178,2
19FEW11542-211277-14,W178,2
19FEW11542-211277-16,W178,2
19FEW11542-211277-18,W178,1
19FEW11542-211277-6,W178,1
19FEW11542-211277-8,W178,2
19FEW11542-211278-10,W178,2
19FEW11542-211278-12,W178,1
19FEW11542-211278-14,W178,1
19FEW11542-211278-16,W178,1
19FEW11542-211278-18,W178,1
19FEW11542-211278-6,W178,1
19FEW11542-211278-8,W178,1
19FEW11542-211279-10,W178,2
19FEW11542-211279-12,W178,2
19FEW11542-211279-14,W178,2
19FEW11542-211279-16,W178,1
19FEW11542-211279-18,W178,1
19FEW11542-211279-6,W178,1
19FEW11542-211279-8,W178,2
19FEW11542-211282-10,W178,3
19FEW11542-211282-12,W178,2
19FEW11542-211282-14,W178,2
19FEW11542-211282-16,W178,2
19FEW11542-211282-18,W178,1
19FEW11542-211282-6,W178,2
19FEW11542-211282-8,W178,3
19FEW11542-211283-10,W178,2
19FEW11542-211283-12,W178,2
19FEW11542-211283-14,W178,2
19FEW11542-211283-16,W178,1
19FEW11542-211283-18,W178,1
19FEW11542-211283-6,W178,1
19FEW11542-211283-8,W178,2
19FEW11542-211284-10,W178,2
19FEW11542-211284-12,W178,2
19FEW11542-211284-14,W178,2
19FEW11542-211284-16,W178,2
19FEW11542-211284-18,W178,1
19FEW11542-211284-8,W178,2
19FEW11542-211520-10,W178,2
19FEW11542-211520-12,W178,2
19FEW11542-211520-14,W178,2
19FEW11542-211520-16,W178,1
19FEW11542-211520-18,W178,1
19FEW11542-211520-6,W178,1
19FEW11542-211520-8,W178,2
19FEW11542-211521-10,W178,2
19FEW11542-211521-12,W178,2
19FEW11542-211521-14,W178,2
19FEW11542-211521-16,W178,1
19FEW11542-211521-18,W178,1
19FEW11542-211521-6,W178,1
19FEW11542-211521-8,W178,2
19FEW11542-211525-10,W178,1
19FEW11542-211525-12,W178,1
19FEW11542-211525-14,W178,1
19FEW11542-211525-16,W178,1
19FEW11542-211525-18,W178,1
19FEW11542-211525-6,W178,1
19FEW11542-211525-8,W178,1
19FEW11542-211527-10,W178,2
19FEW11542-211527-12,W178,1
19FEW11542-211527-14,W178,1
19FEW11542-211527-16,W178,1
19FEW11542-211527-18,W178,1
19FEW11542-211527-6,W178,1
19FEW11542-211527-8,W178,2
19FEW11542-211536-10,W178,3
19FEW11542-211536-12,W178,3
19FEW11542-211536-14,W178,3
19FEW11542-211536-16,W178,2
19FEW11542-211536-18,W178,2
19FEW11542-211536-6,W178,2
19FEW11542-211536-8,W178,3
19FEW11542-211538-10,W178,3
19FEW11542-211538-12,W178,3
19FEW11542-211538-14,W178,3
19FEW11542-211538-16,W178,2
19FEW11542-211538-18,W178,2
19FEW11542-211538-6,W178,2
19FEW11542-211538-8,W178,3
19FEW11542-211539-10,W178,1
19FEW11542-211539-12,W178,1
19FEW11542-211539-14,W178,1
19FEW11542-211539-16,W178,1
19FEW11542-211539-18,W178,1
19FEW11542-211539-6,W178,1
19FEW11542-211539-8,W178,1
19FEW11542-211540-10,W178,3
19FEW11542-211540-12,W178,2
19FEW11542-211540-14,W178,2
19FEW11542-211540-16,W178,2
19FEW11542-211540-18,W178,1
19FEW11542-211540-6,W178,2
19FEW11542-211540-8,W178,3
19FEW11542-211543-10,W178,2
19FEW11542-211543-12,W178,2
19FEW11542-211543-14,W178,2
19FEW11542-211543-16,W178,1
19FEW11542-211543-18,W178,1
19FEW11542-211543-8,W178,2
19FEW11542-211547-10,W178,2
19FEW11542-211547-12,W178,2
19FEW11542-211547-14,W178,2
19FEW11542-211547-16,W178,1
19FEW11542-211547-18,W178,1
19FEW11542-211547-6,W178,1
19FEW11542-211547-8,W178,2
19FEW11542-211549-10,W178,2
19FEW11542-211549-12,W178,2
19FEW11542-211549-14,W178,2
19FEW11542-211549-16,W178,2
19FEW11542-211549-18,W178,1
19FEW11542-211549-6,W178,1
19FEW11542-211549-8,W178,2
19FEW11542-211552-10,W178,1
19FEW11542-211552-12,W178,1
19FEW11542-211552-14,W178,1
19FEW11542-211552-16,W178,1
19FEW11542-211552-18,W178,1
19FEW11542-211552-8,W178,1
19FEW11542-211554-10,W178,1
19FEW11542-211554-12,W178,1
19FEW11542-211554-14,W178,1
19FEW11542-211554-16,W178,1
19FEW11542-211554-18,W178,1
19FEW11542-211554-6,W178,1
19FEW11542-211554-8,W178,1
19FEW11542-211555-10,W178,2
19FEW11542-211555-12,W178,2
19FEW11542-211555-14,W178,2
19FEW11542-211555-16,W178,2
19FEW11542-211555-18,W178,1
19FEW11542-211555-6,W178,1
19FEW11542-211555-8,W178,2
19FEW11542-211556-10,W178,3
19FEW11542-211556-12,W178,2
19FEW11542-211556-14,W178,2
19FEW11542-211556-16,W178,2
19FEW11542-211556-18,W178,1
19FEW11542-211556-6,W178,2
19FEW11542-211556-8,W178,3
19FEW11542-211559-10,W178,1
19FEW11542-211559-12,W178,1
19FEW11542-211559-14,W178,1
19FEW11542-211559-16,W178,1
19FEW11542-211559-18,W178,1
19FEW11542-211559-6,W178,1
19FEW11542-211559-8,W178,1
19FEW11542-211560-10,W178,2
19FEW11542-211560-12,W178,2
19FEW11542-211560-14,W178,2
19FEW11542-211560-16,W178,1
19FEW11542-211560-18,W178,1
19FEW11542-211560-6,W178,1
19FEW11542-211560-8,W178,2
19FEW11542-211561-10,W178,1
19FEW11542-211561-12,W178,1
19FEW11542-211561-14,W178,1
19FEW11542-211561-16,W178,1
19FEW11542-211561-18,W178,1
19FEW11542-211561-6,W178,1
19FEW11542-211561-8,W178,1
19FEW11542-211563-10,W178,1
19FEW11542-211563-12,W178,1
19FEW11542-211563-14,W178,1
19FEW11542-211563-16,W178,1
19FEW11542-211563-18,W178,1
19FEW11542-211563-6,W178,1
19FEW11542-211563-8,W178,1
19FEW11542-211564-10,W178,2
19FEW11542-211564-12,W178,2
19FEW11542-211564-14,W178,2
19FEW11542-211564-16,W178,2
19FEW11542-211564-18,W178,1
19FEW11542-211564-6,W178,2
19FEW11542-211564-8,W178,2
19FEW11630-110802-10,W178,3
19FEW11630-110802-12,W178,2
19FEW11630-110802-14,W178,2
19FEW11630-110802-16,W178,2
19FEW11630-110802-18,W178,1
19FEW11630-110802-6,W178,2
19FEW11630-110802-8,W178,3
19FEW11631-310421-10,W178,3
19FEW11631-310421-12,W178,2
19FEW11631-310421-14,W178,2
19FEW11631-310421-16,W178,2
19FEW11631-310421-18,W178,2
19FEW11631-310421-6,W178,1
19FEW11631-310421-8,W178,2
19FEW11632-111450-10,W178,3
19FEW11632-111450-12,W178,3
19FEW11632-111450-14,W178,3
19FEW11632-111450-16,W178,3
19FEW11632-111450-18,W178,3
19FEW11632-111450-6,W178,2
19FEW11632-111450-8,W178,3
19FEW11636-110816-10,W178,3
19FEW11636-110816-12,W178,2
19FEW11636-110816-14,W178,2
19FEW11636-110816-16,W178,2
19FEW11636-110816-18,W178,1
19FEW11636-110816-6,W178,2
19FEW11636-110816-8,W178,3
19FEW11641-110814-10,W178,2
19FEW11641-110814-12,W178,2
19FEW11641-110814-14,W178,2
19FEW11641-110814-16,W178,1
19FEW11641-110814-18,W178,1
19FEW11641-110814-6,W178,1
19FEW11641-110814-8,W178,2
19FEW11656-210723-10,W178,2
19FEW11656-210723-12,W178,2
19FEW11656-210723-14,W178,1
19FEW11656-210723-16,W178,1
19FEW11656-210723-18,W178,1
19FEW11656-210723-6,W178,1
19FEW11656-210723-8,W178,2
19FEW11660B-310430-10,W178,2
19FEW11660B-310430-12,W178,2
19FEW11660B-310430-14,W178,2
19FEW11660B-310430-16,W178,2
19FEW11660B-310430-18,W178,1
19FEW11660B-310430-6,W178,1
19FEW11660B-310430-8,W178,2
19FEW11666B-110848-10,W178,4
19FEW11666B-110848-12,W178,3
19FEW11666B-110848-14,W178,3
19FEW11666B-110848-16,W178,3
19FEW11666B-110848-18,W178,3
19FEW11666B-110848-6,W178,3
19FEW11666B-110848-8,W178,4
19FEW11668-110855-10,W178,2
19FEW11668-110855-12,W178,2
19FEW11668-110855-14,W178,2
19FEW11668-110855-16,W178,2
19FEW11668-110855-18,W178,2
19FEW11668-110855-6,W178,1
19FEW11668-110855-8,W178,2
19FEW11672-111414-10,W178,3
19FEW11672-111414-12,W178,3
19FEW11672-111414-14,W178,2
19FEW11672-111414-16,W178,2
19FEW11672-111414-18,W178,2
19FEW11672-111414-6,W178,2
19FEW11672-111414-8,W178,3
19FEW11673-110835-10,W178,3
19FEW11673-110835-12,W178,3
19FEW11673-110835-14,W178,3
19FEW11673-110835-16,W178,3
19FEW11673-110835-18,W178,2
19FEW11673-110835-6,W178,2
19FEW11673-110835-8,W178,3
19FEW11674-110851-10,W178,3
19FEW11674-110851-12,W178,3
19FEW11674-110851-14,W178,3
19FEW11674-110851-16,W178,3
19FEW11674-110851-18,W178,2
19FEW11674-110851-6,W178,2
19FEW11674-110851-8,W178,3
19FEW11674-111530-10,W178,3
19FEW11674-111530-12,W178,3
19FEW11674-111530-14,W178,3
19FEW11674-111530-16,W178,3
19FEW11674-111530-18,W178,2
19FEW11674-111530-6,W178,2
19FEW11674-111530-8,W178,3
19FEW11675-110868-10,W178,3
19FEW11675-110868-12,W178,3
19FEW11675-110868-14,W178,3
19FEW11675-110868-16,W178,3
19FEW11675-110868-18,W178,2
19FEW11675-110868-6,W178,2
19FEW11675-110868-8,W178,3
19FEW11676-110854-10,W178,3
19FEW11676-110854-12,W178,2
19FEW11676-110854-14,W178,2
19FEW11676-110854-16,W178,2
19FEW11676-110854-18,W178,2
19FEW11676-110854-6,W178,1
19FEW11676-110854-8,W178,2
19FEW11677-110881-10,W178,2
19FEW11677-110881-12,W178,2
19FEW11677-110881-14,W178,2
19FEW11677-110881-16,W178,2
19FEW11677-110881-18,W178,1
