Product_Code,WH_Qty,Date,WH
19FEW11064-110211-10,15,11/02/19,WD1
19FEW11064-110211-12,28,11/02/19,WD1
19FEW11064-110211-14,24,11/02/19,WD1
19FEW11064-110211-16,9,11/02/19,WD1
19FEW11064-110211-18,12,11/02/19,WD1
19FEW11064-110211-6,24,11/02/19,WD1
19FEW11064-110211-8,26,11/02/19,WD1
19FEW11066-110212-10,9,11/02/19,WD1
19FEW11066-110212-12,16,11/02/19,WD1
19FEW11066-110212-14,12,11/02/19,WD1
19FEW11066-110212-16,14,11/02/19,WD1
19FEW11066-110212-18,12,11/02/19,WD1
19FEW11066-110212-6,12,11/02/19,WD1
19FEW11066-110212-8,10,11/02/19,WD1
19FEW11070-110237-10,26,11/02/19,WD1
19FEW11070-110237-12,21,11/02/19,WD1
19FEW11070-110237-14,15,11/02/19,WD1
19FEW11070-110237-16,14,11/02/19,WD1
19FEW11070-110237-18,10,11/02/19,WD1
19FEW11070-110237-6,12,11/02/19,WD1
19FEW11070-110237-8,22,11/02/19,WD1
19FEW11075-110228-10,15,11/02/19,WD1
19FEW11075-110228-12,22,11/02/19,WD1
19FEW11075-110228-14,32,11/02/19,WD1
19FEW11075-110228-16,30,11/02/19,WD1
19FEW11075-110228-18,21,11/02/19,WD1
19FEW11075-110228-6,21,11/02/19,WD1
19FEW11075-110228-8,13,11/02/19,WD1
19FEW11077-110234-10,13,11/02/19,WD1
19FEW11077-110234-12,5,11/02/19,WD1
19FEW11077-110234-14,17,11/02/19,WD1
19FEW11077-110234-16,4,11/02/19,WD1
19FEW11077-110234-18,2,11/02/19,WD1
19FEW11077-110234-6,15,11/02/19,WD1
19FEW11077-110234-8,13,11/02/19,WD1
19FEW11078-110201-10,55,11/02/19,WD1
19FEW11078-110201-12,56,11/02/19,WD1
19FEW11078-110201-14,39,11/02/19,WD1
19FEW11078-110201-16,5,11/02/19,WD1
19FEW11078-110201-18,27,11/02/19,WD1
19FEW11078-110201-6,28,11/02/19,WD1
19FEW11078-110201-8,49,11/02/19,WD1
19FEW11083-110187-10,45,11/02/19,WD1
19FEW11083-110187-12,5,11/02/19,WD1
19FEW11083-110187-14,44,11/02/19,WD1
19FEW11083-110187-16,43,11/02/19,WD1
19FEW11083-110187-18,27,11/02/19,WD1
19FEW11083-110187-6,27,11/02/19,WD1
19FEW11083-110187-8,28,11/02/19,WD1
19FEW11087-110221-10,23,11/02/19,WD1
19FEW11087-110221-12,1,11/02/19,WD1
19FEW11087-110221-14,8,11/02/19,WD1
19FEW11087-110221-16,32,11/02/19,WD1
19FEW11087-110221-18,1,11/02/19,WD1
19FEW11087-110221-6,11,11/02/19,WD1
19FEW11087-110221-8,56,11/02/19,WD1
19FEW11493-110236-10,10,11/02/19,WD1
19FEW11493-110236-12,21,11/02/19,WD1
19FEW11493-110236-14,10,11/02/19,WD1
19FEW11493-110236-16,14,11/02/19,WD1
19FEW11493-110236-18,11,11/02/19,WD1
19FEW11493-110236-6,12,11/02/19,WD1
19FEW11493-110236-8,22,11/02/19,WD1
19FEW11499-110200-10,30,11/02/19,WD1
19FEW11499-110200-12,24,11/02/19,WD1
19FEW11499-110200-14,17,11/02/19,WD1
19FEW11499-110200-16,12,11/02/19,WD1
19FEW11499-110200-18,12,11/02/19,WD1
19FEW11499-110200-6,15,11/02/19,WD1
19FEW11499-110200-8,4,11/02/19,WD1
19FEW11542-211235-10,32,11/02/19,WD1
19FEW11542-211235-12,26,11/02/19,WD1
19FEW11542-211235-14,6,11/02/19,WD1
19FEW11542-211235-16,19,11/02/19,WD1
19FEW11542-211235-18,17,11/02/19,WD1
19FEW11542-211235-6,12,11/02/19,WD1
19FEW11542-211235-8,12,11/02/19,WD1
19FEW11542-211275-10,58,11/02/19,WD1
19FEW11542-211275-12,12,11/02/19,WD1
19FEW11542-211275-14,33,11/02/19,WD1
19FEW11542-211275-16,29,11/02/19,WD1
19FEW11542-211275-18,31,11/02/19,WD1
19FEW11542-211275-6,25,11/02/19,WD1
19FEW11542-211275-8,11,11/02/19,WD1
19FEW11542-211276-10,56,11/02/19,WD1
19FEW11542-211276-12,3,11/02/19,WD1
19FEW11542-211276-14,11,11/02/19,WD1
19FEW11542-211276-16,15,11/02/19,WD1
